workspace,section,name,version
"@trotebox/api","dependencies","@trotebox/contracts","0.3.8"
"@trotebox/api","dependencies","@trotebox/db","0.3.8"
"@trotebox/api","dependencies","@vonage/server-sdk","3.24.0"
"@trotebox/api","dependencies","jose","6.0.0"
"@trotebox/api","dependencies","next","16.3.0"
"@trotebox/api","dependencies","react","19.2.0"
"@trotebox/api","dependencies","react-dom","19.2.0"
"@trotebox/api","dependencies","stripe","18.0.0"
"@trotebox/api","dependencies","twilio","5.8.0"
"@trotebox/api","dependencies","zod","4.4.3"
"@trotebox/api","devDependencies","@types/react","19.2.0"
"@trotebox/api","devDependencies","@types/react-dom","19.2.0"
"@trotebox/api","devDependencies","typescript","5.8.3"
"@trotebox/api","devDependencies","vitest","3.2.7"
"@trotebox/web","dependencies","@capacitor/android","8.5.0"
"@trotebox/web","dependencies","@capacitor/app","8.0.0"
"@trotebox/web","dependencies","@capacitor/core","8.5.0"
"@trotebox/web","dependencies","@capacitor/haptics","8.0.0"
"@trotebox/web","dependencies","@capacitor/ios","8.5.0"
"@trotebox/web","dependencies","@capacitor/splash-screen","8.0.0"
"@trotebox/web","dependencies","@capacitor/status-bar","8.0.0"
"@trotebox/web","dependencies","@trotebox/contracts","0.3.8"
"@trotebox/web","dependencies","next","16.3.0"
"@trotebox/web","dependencies","react","19.2.0"
"@trotebox/web","dependencies","react-dom","19.2.0"
"@trotebox/web","devDependencies","@capacitor/cli","8.5.0"
"@trotebox/web","devDependencies","@types/react","19.2.0"
"@trotebox/web","devDependencies","@types/react-dom","19.2.0"
"@trotebox/web","devDependencies","typescript","5.8.3"
"@trotebox/web","devDependencies","vitest","3.2.7"
"trotebox-platform","devDependencies","@types/node","22.15.0"
"trotebox-platform","devDependencies","eslint","9.30.0"
"trotebox-platform","devDependencies","eslint-config-next","16.3.0"
"trotebox-platform","devDependencies","typescript","5.8.3"
"trotebox-platform","devDependencies","vitest","3.2.7"
"@trotebox/contracts","dependencies","zod","4.4.3"
"@trotebox/contracts","devDependencies","@types/node","22.15.0"
"@trotebox/contracts","devDependencies","typescript","5.8.3"
"@trotebox/contracts","devDependencies","vitest","3.2.7"
"@trotebox/db","dependencies","@prisma/client","6.19.3"
"@trotebox/db","devDependencies","prisma","6.19.3"
"@trotebox/db","devDependencies","tsx","4.20.0"
"@trotebox/db","devDependencies","typescript","5.8.3"
"@trotebox/db","devDependencies","vitest","3.2.7"
